kol,rejim,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK,SELECT,2021-01-01,Theta,2021-02-01,6.848962744626588,-5.339753150939941
T0,SOK,SELECT,2021-01-01,Chronos2,2021-02-01,6.848962744626588,-4.075336456298828
T0,SOK,SELECT,2021-01-01,Toto2,2021-02-01,6.848962744626588,-3.0482940673828125
T0,SOK,SELECT,2021-01-01,WeightedEnsemble,2021-02-01,6.848962744626588,-3.2243969407895
T0,SOK,SELECT,2021-01-01,sifir,2021-02-01,6.848962744626588,0.0
T0,SOK,SELECT,2021-01-01,naive,2021-02-01,6.848962744626588,-16.72519933077777
T0,SOK,SELECT,2021-01-01,mevsimsel_naive,2021-02-01,6.848962744626588,-2.814683920368756
T0,SOK,SELECT,2021-01-01,son12_ortalama,2021-02-01,6.848962744626588,-6.285189899421776
T0,SOK,SELECT,2021-02-01,SeasonalNaive,2021-03-01,35.55604124572647,-19.716800199477632
T0,SOK,SELECT,2021-02-01,RecursiveTabular,2021-03-01,35.55604124572647,-21.606142044067383
T0,SOK,SELECT,2021-02-01,DirectTabular,2021-03-01,35.55604124572647,-0.679963231086731
T0,SOK,SELECT,2021-02-01,ETS,2021-03-01,35.55604124572647,-0.9296660715884606
T0,SOK,SELECT,2021-02-01,Theta,2021-03-01,35.55604124572647,-3.8631973266601562
T0,SOK,SELECT,2021-02-01,Chronos2,2021-03-01,35.55604124572647,-2.9372451305389404
T0,SOK,SELECT,2021-02-01,Toto2,2021-03-01,35.55604124572647,-2.041962146759033
T0,SOK,SELECT,2021-02-01,WeightedEnsemble,2021-03-01,35.55604124572647,-0.679963231086731
T0,SOK,SELECT,2021-02-01,sifir,2021-03-01,35.55604124572647,0.0
T0,SOK,SELECT,2021-02-01,naive,2021-03-01,35.55604124572647,6.848962744626588
T0,SOK,SELECT,2021-02-01,mevsimsel_naive,2021-03-01,35.55604124572647,-19.716800199477632
T0,SOK,SELECT,2021-02-01,son12_ortalama,2021-03-01,35.55604124572647,-5.479886010672164
T0,SOK,SELECT,2021-03-01,SeasonalNaive,2021-04-01,-10.883147152664586,-77.18045079689757
T0,SOK,SELECT,2021-03-01,RecursiveTabular,2021-04-01,-10.883147152664586,-77.23905944824219
T0,SOK,SELECT,2021-03-01,DirectTabular,2021-04-01,-10.883147152664586,-1.1708091497421265
T0,SOK,SELECT,2021-03-01,ETS,2021-04-01,-10.883147152664586,0.042199524037357064
T0,SOK,SELECT,2021-03-01,Theta,2021-04-01,-10.883147152664586,0.9299031496047974
T0,SOK,SELECT,2021-03-01,Chronos2,2021-04-01,-10.883147152664586,-0.012310542166233063
T0,SOK,SELECT,2021-03-01,Toto2,2021-04-01,-10.883147152664586,-0.08149439096450806
T0,SOK,SELECT,2021-03-01,WeightedEnsemble,2021-04-01,-10.883147152664586,0.042199524037357064
T0,SOK,SELECT,2021-03-01,sifir,2021-04-01,-10.883147152664586,0.0
T0,SOK,SELECT,2021-03-01,naive,2021-04-01,-10.883147152664586,35.55604124572647
T0,SOK,SELECT,2021-03-01,mevsimsel_naive,2021-04-01,-10.883147152664586,-77.18045079689757
T0,SOK,SELECT,2021-03-01,son12_ortalama,2021-04-01,-10.883147152664586,-0.873815890238489
T0,SOK,SELECT,2021-04-01,SeasonalNaive,2021-05-01,-29.32672993932633,49.80176895789852
T0,SOK,SELECT,2021-04-01,RecursiveTabular,2021-05-01,-29.32672993932633,50.37023162841797
T0,SOK,SELECT,2021-04-01,DirectTabular,2021-05-01,-29.32672993932633,-0.9120733737945557
T0,SOK,SELECT,2021-04-01,ETS,2021-05-01,-29.32672993932633,-0.27222395216173895
T0,SOK,SELECT,2021-04-01,Theta,2021-05-01,-29.32672993932633,-0.33335065841674805
T0,SOK,SELECT,2021-04-01,Chronos2,2021-05-01,-29.32672993932633,-1.2952024936676025
T0,SOK,SELECT,2021-04-01,Toto2,2021-05-01,-29.32672993932633,-2.7425248622894287
T0,SOK,SELECT,2021-04-01,WeightedEnsemble,2021-05-01,-29.32672993932633,6.332068113175789
T0,SOK,SELECT,2021-04-01,sifir,2021-05-01,-29.32672993932633,0.0
T0,SOK,SELECT,2021-04-01,naive,2021-05-01,-29.32672993932633,-10.883147152664586
T0,SOK,SELECT,2021-04-01,mevsimsel_naive,2021-05-01,-29.32672993932633,49.80176895789852
T0,SOK,SELECT,2021-04-01,son12_ortalama,2021-05-01,-29.32672993932633,4.650959413447594
T0,SOK,SELECT,2021-05-01,SeasonalNaive,2021-06-01,64.34681589174947,70.59594255098482
T0,SOK,SELECT,2021-05-01,RecursiveTabular,2021-06-01,64.34681589174947,67.91715240478516
T0,SOK,SELECT,2021-05-01,DirectTabular,2021-06-01,64.34681589174947,0.04003414139151573
T0,SOK,SELECT,2021-05-01,ETS,2021-06-01,64.34681589174947,-0.9467102427822142
T0,SOK,SELECT,2021-05-01,Theta,2021-06-01,64.34681589174947,-3.6161277294158936
T0,SOK,SELECT,2021-05-01,Chronos2,2021-06-01,64.34681589174947,-4.4096503257751465
T0,SOK,SELECT,2021-05-01,Toto2,2021-06-01,64.34681589174947,-1.6951953172683716
T0,SOK,SELECT,2021-05-01,WeightedEnsemble,2021-06-01,64.34681589174947,-1.6951953172683716
T0,SOK,SELECT,2021-05-01,sifir,2021-06-01,64.34681589174947,0.0
T0,SOK,SELECT,2021-05-01,naive,2021-06-01,64.34681589174947,-29.32672993932633
T0,SOK,SELECT,2021-05-01,mevsimsel_naive,2021-06-01,64.34681589174947,70.59594255098482
T0,SOK,SELECT,2021-05-01,son12_ortalama,2021-06-01,64.34681589174947,-1.9430821613211442
T0,SOK,SELECT,2021-06-01,SeasonalNaive,2021-07-01,-21.136747557930065,-6.925663201609406
T0,SOK,SELECT,2021-06-01,RecursiveTabular,2021-07-01,-21.136747557930065,-4.315018177032471
T0,SOK,SELECT,2021-06-01,DirectTabular,2021-07-01,-21.136747557930065,-0.25685808062553406
T0,SOK,SELECT,2021-06-01,ETS,2021-07-01,-21.136747557930065,0.6442166716834551
T0,SOK,SELECT,2021-06-01,Theta,2021-07-01,-21.136747557930065,4.505191802978516
T0,SOK,SELECT,2021-06-01,Chronos2,2021-07-01,-21.136747557930065,0.9610238075256348
T0,SOK,SELECT,2021-06-01,Toto2,2021-07-01,-21.136747557930065,-0.12817323207855225
T0,SOK,SELECT,2021-06-01,WeightedEnsemble,2021-07-01,-21.136747557930065,-5.475589182137937
T0,SOK,SELECT,2021-06-01,sifir,2021-07-01,-21.136747557930065,0.0
T0,SOK,SELECT,2021-06-01,naive,2021-07-01,-21.136747557930065,64.34681589174947
T0,SOK,SELECT,2021-06-01,mevsimsel_naive,2021-07-01,-21.136747557930065,-6.925663201609406
T0,SOK,SELECT,2021-06-01,son12_ortalama,2021-07-01,-21.136747557930065,-2.4638427162574223
T0,SOK,SELECT,2021-07-01,SeasonalNaive,2021-08-01,16.451898507805947,-20.22095299059261
T0,SOK,SELECT,2021-07-01,RecursiveTabular,2021-08-01,16.451898507805947,-20.742000579833984
T0,SOK,SELECT,2021-07-01,DirectTabular,2021-08-01,16.451898507805947,-1.0819367170333862
T0,SOK,SELECT,2021-07-01,ETS,2021-08-01,16.451898507805947,0.11803969921894952
T0,SOK,SELECT,2021-07-01,Theta,2021-08-01,16.451898507805947,1.7455933094024658
T0,SOK,SELECT,2021-07-01,Chronos2,2021-08-01,16.451898507805947,-1.5599586963653564
T0,SOK,SELECT,2021-07-01,Toto2,2021-08-01,16.451898507805947,-0.7081618309020996
T0,SOK,SELECT,2021-07-01,WeightedEnsemble,2021-08-01,16.451898507805947,-20.742000579833984
T0,SOK,SELECT,2021-07-01,sifir,2021-08-01,16.451898507805947,0.0
T0,SOK,SELECT,2021-07-01,naive,2021-08-01,16.451898507805947,-21.136747557930065
T0,SOK,SELECT,2021-07-01,mevsimsel_naive,2021-08-01,16.451898507805947,-20.22095299059261
T0,SOK,SELECT,2021-07-01,son12_ortalama,2021-08-01,16.451898507805947,-3.648099745950811
T0,SOK,SELECT,2021-08-01,SeasonalNaive,2021-09-01,8.279747176280907,9.408234654401094
