kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2021-04-01,son12_ortalama,2021-07-01,13.4745169990887,-11.294877013741393
T0,SOK_2020_04_2022_12,2021-05-01,SeasonalNaive,2021-08-01,31.56739785908104,62.498973254681154
T0,SOK_2020_04_2022_12,2021-05-01,RecursiveTabular,2021-08-01,31.56739785908104,70.64163208007812
T0,SOK_2020_04_2022_12,2021-05-01,DirectTabular,2021-08-01,31.56739785908104,2.699232816696167
T0,SOK_2020_04_2022_12,2021-05-01,ETS,2021-08-01,31.56739785908104,18.67468924320969
T0,SOK_2020_04_2022_12,2021-05-01,Theta,2021-08-01,31.56739785908104,13.883005142211914
T0,SOK_2020_04_2022_12,2021-05-01,Chronos2,2021-08-01,31.56739785908104,-16.679229736328125
T0,SOK_2020_04_2022_12,2021-05-01,Toto2,2021-08-01,31.56739785908104,2.891286849975586
T0,SOK_2020_04_2022_12,2021-05-01,WeightedEnsemble,2021-08-01,31.56739785908104,2.699232816696167
T0,SOK_2020_04_2022_12,2021-05-01,sifir,2021-08-01,31.56739785908104,0.0
T0,SOK_2020_04_2022_12,2021-05-01,son12_ortalama,2021-08-01,31.56739785908104,-4.916668564664317
T0,SOK_2020_04_2022_12,2021-06-01,SeasonalNaive,2021-09-01,22.772304773526542,34.50845781715758
T0,SOK_2020_04_2022_12,2021-06-01,RecursiveTabular,2021-09-01,22.772304773526542,40.847137451171875
T0,SOK_2020_04_2022_12,2021-06-01,DirectTabular,2021-09-01,22.772304773526542,1.5035855770111084
T0,SOK_2020_04_2022_12,2021-06-01,ETS,2021-09-01,22.772304773526542,18.67633374466862
T0,SOK_2020_04_2022_12,2021-06-01,Theta,2021-09-01,22.772304773526542,14.237914085388184
T0,SOK_2020_04_2022_12,2021-06-01,Chronos2,2021-09-01,22.772304773526542,-15.793231010437012
T0,SOK_2020_04_2022_12,2021-06-01,Toto2,2021-09-01,22.772304773526542,5.015986919403076
T0,SOK_2020_04_2022_12,2021-06-01,WeightedEnsemble,2021-09-01,22.772304773526542,5.015986919403076
T0,SOK_2020_04_2022_12,2021-06-01,sifir,2021-09-01,22.772304773526542,0.0
T0,SOK_2020_04_2022_12,2021-06-01,son12_ortalama,2021-09-01,22.772304773526542,-1.4608874737930646
T0,SOK_2020_04_2022_12,2021-07-01,SeasonalNaive,2021-10-01,27.944221914701988,-3.0025495759971608
T0,SOK_2020_04_2022_12,2021-07-01,RecursiveTabular,2021-10-01,27.944221914701988,-3.6680655479431152
T0,SOK_2020_04_2022_12,2021-07-01,DirectTabular,2021-10-01,27.944221914701988,-0.07771601527929306
T0,SOK_2020_04_2022_12,2021-07-01,ETS,2021-10-01,27.944221914701988,13.475037180763259
T0,SOK_2020_04_2022_12,2021-07-01,Theta,2021-10-01,27.944221914701988,9.23137092590332
T0,SOK_2020_04_2022_12,2021-07-01,Chronos2,2021-10-01,27.944221914701988,-7.765979766845703
T0,SOK_2020_04_2022_12,2021-07-01,Toto2,2021-10-01,27.944221914701988,0.0734131932258606
T0,SOK_2020_04_2022_12,2021-07-01,WeightedEnsemble,2021-10-01,27.944221914701988,0.8807399394630533
T0,SOK_2020_04_2022_12,2021-07-01,sifir,2021-10-01,27.944221914701988,0.0
T0,SOK_2020_04_2022_12,2021-07-01,son12_ortalama,2021-10-01,27.944221914701988,-3.1117593099277574
T0,SOK_2020_04_2022_12,2021-08-01,SeasonalNaive,2021-11-01,24.967485286315604,-21.104097827845703
T0,SOK_2020_04_2022_12,2021-08-01,RecursiveTabular,2021-11-01,24.967485286315604,-28.68362045288086
T0,SOK_2020_04_2022_12,2021-08-01,DirectTabular,2021-11-01,24.967485286315604,-1.786246657371521
T0,SOK_2020_04_2022_12,2021-08-01,ETS,2021-11-01,24.967485286315604,31.565588623013205
T0,SOK_2020_04_2022_12,2021-08-01,Theta,2021-11-01,24.967485286315604,27.393207550048828
T0,SOK_2020_04_2022_12,2021-08-01,Chronos2,2021-11-01,24.967485286315604,20.917980194091797
T0,SOK_2020_04_2022_12,2021-08-01,Toto2,2021-11-01,24.967485286315604,19.59528350830078
T0,SOK_2020_04_2022_12,2021-08-01,WeightedEnsemble,2021-11-01,24.967485286315604,31.565588623013205
T0,SOK_2020_04_2022_12,2021-08-01,sifir,2021-11-01,24.967485286315604,0.0
T0,SOK_2020_04_2022_12,2021-08-01,son12_ortalama,2021-11-01,24.967485286315604,-5.689390592894436
T0,SOK_2020_04_2022_12,2021-09-01,SeasonalNaive,2021-12-01,24.406716659833776,-34.310592493298216
T0,SOK_2020_04_2022_12,2021-09-01,RecursiveTabular,2021-12-01,24.406716659833776,-43.81425094604492
T0,SOK_2020_04_2022_12,2021-09-01,DirectTabular,2021-12-01,24.406716659833776,-2.5338661670684814
T0,SOK_2020_04_2022_12,2021-09-01,ETS,2021-12-01,24.406716659833776,22.773184101911493
T0,SOK_2020_04_2022_12,2021-09-01,Theta,2021-12-01,24.406716659833776,18.98672103881836
