kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,CONFIRM,2024-11-01,WeightedEnsemble,2025-02-01,-12.040738564332296,-8.106524721781414
T0,CONFIRM,2024-11-01,sifir,2025-02-01,-12.040738564332296,0.0
T0,CONFIRM,2024-11-01,son12_ortalama,2025-02-01,-12.040738564332296,6.771563570199167
T0,CONFIRM,2024-12-01,SeasonalNaive,2025-03-01,-19.8439275880849,14.808234910108492
T0,CONFIRM,2024-12-01,RecursiveTabular,2025-03-01,-19.8439275880849,-29.43680191040039
T0,CONFIRM,2024-12-01,DirectTabular,2025-03-01,-19.8439275880849,-10.75140380859375
T0,CONFIRM,2024-12-01,ETS,2025-03-01,-19.8439275880849,4.670882805771704
T0,CONFIRM,2024-12-01,Theta,2025-03-01,-19.8439275880849,0.9973310828208923
T0,CONFIRM,2024-12-01,Chronos2,2025-03-01,-19.8439275880849,-3.3258261680603027
T0,CONFIRM,2024-12-01,Toto2,2025-03-01,-19.8439275880849,-2.9946417808532715
T0,CONFIRM,2024-12-01,WeightedEnsemble,2025-03-01,-19.8439275880849,-11.966927689976162
T0,CONFIRM,2024-12-01,sifir,2025-03-01,-19.8439275880849,0.0
T0,CONFIRM,2024-12-01,son12_ortalama,2025-03-01,-19.8439275880849,7.928082984210068
T0,CONFIRM,2025-01-01,SeasonalNaive,2025-04-01,-7.560802892465666,8.437620324379505
T0,CONFIRM,2025-01-01,RecursiveTabular,2025-04-01,-7.560802892465666,-5.835176467895508
T0,CONFIRM,2025-01-01,DirectTabular,2025-04-01,-7.560802892465666,2.6708645820617676
T0,CONFIRM,2025-01-01,ETS,2025-04-01,-7.560802892465666,-5.135713509666612
T0,CONFIRM,2025-01-01,Theta,2025-04-01,-7.560802892465666,-8.83126163482666
T0,CONFIRM,2025-01-01,Chronos2,2025-04-01,-7.560802892465666,-0.8957066535949707
T0,CONFIRM,2025-01-01,Toto2,2025-04-01,-7.560802892465666,-4.014840126037598
T0,CONFIRM,2025-01-01,WeightedEnsemble,2025-04-01,-7.560802892465666,0.43811861442965117
